time,ETHUSDT,BTCUSDT,SOMIUSDT,SOLUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,AVNTUSDT,PUMPUSDT,SUIUSDT,AVAXUSDT,WLFIUSDT,PEPEUSDT,TSTUSDT,TRXUSDT,ENAUSDT,WLDUSDT,ZKCUSDT,ADAUSDT,LINEAUSDT,LINKUSDT,PENGUUSDT,LTCUSDT,MITOUSDT,OPENUSDT,AAVEUSDT,WIFUSDT,ARBUSDT,MUBARAKUSDT,UNIUSDT,BONKUSDT,DOTUSDT,RAREUSDT,NEARUSDT,SEIUSDT,XLMUSDT,FILUSDT,IMXUSDT,PROMUSDT,OGUSDT,PAXGUSDT,HOLOUSDT,ETHFIUSDT,HBARUSDT,HIFIUSDT,CRVUSDT,ONDOUSDT,EIGENUSDT,FORMUSDT,CAKEUSDT
2025-09-15 22:00 CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,
2025-09-15 22:05 CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005664,,,,,
2025-09-15 22:10 CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008811,,,,,
2025-09-15 22:15 CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,
2025-09-15 22:20 CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009440,,,,,
2025-09-15 22:25 CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.021397,,,,,
2025-09-15 22:30 CT,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008181,0.000000,0.000000,0.000000,0.000000,0.000000
2025-09-15 22:35 CT,-0.000607,-0.000046,-0.000847,0.000085,0.000485,0.001510,0.000134,-0.003564,0.002760,-0.000996,-0.000339,0.000000,0.000000,0.000000,0.000000,-0.001004,0.000667,-0.000113,0.000232,0.002431,-0.001278,-0.000946,0.000177,0.003984,-0.002441,-0.000269,-0.002260,0.000000,-0.001319,-0.000873,-0.001711,0.001204,0.001862,0.000000,-0.000634,-0.000264,-0.000832,0.003067,0.000212,-0.000142,-0.000144,0.003812,0.000000,-0.000639,0.007552,-0.001082,-0.000391,-0.001301,0.000375,0.000408
2025-09-15 22:40 CT,-0.000876,0.000355,-0.001016,-0.000722,0.001642,0.001901,-0.000402,-0.001960,0.003120,-0.000797,-0.001018,-0.001357,0.000000,-0.004729,0.000000,-0.000860,0.000667,0.004282,0.000348,-0.002431,-0.001278,-0.000580,-0.000355,0.007570,-0.003487,-0.000674,-0.002260,-0.000611,-0.001978,-0.001200,-0.000855,0.001927,0.001862,0.000383,-0.000951,-0.000793,-0.000416,0.013804,-0.000530,0.001064,-0.000014,0.002541,-0.002080,-0.001618,-0.001888,-0.002435,-0.001272,-0.001301,-0.000843,0.000817
2025-09-15 22:45 CT,-0.000870,-0.000124,-0.011178,-0.001528,-0.000075,0.001206,-0.000904,-0.019959,-0.000600,-0.002249,-0.003053,-0.005427,-0.000928,-0.002910,0.000000,-0.002438,0.000667,-0.003493,-0.000348,-0.001737,-0.002130,-0.001800,-0.000443,0.001992,-0.004300,-0.001044,-0.003390,-0.002037,-0.003297,-0.002400,-0.001283,0.001204,-0.001862,-0.000767,-0.001269,-0.001587,-0.001664,0.009202,0.001485,-0.002554,-0.000041,0.000254,-0.003467,-0.002172,-0.009440,-0.004193,-0.002544,-0.002602,-0.001265,-0.000408
